,data,godzina,dom,-,wyjazd,wynik,pusta
2835,,,Ruch Chorzów,-,KSZO Ostrowiec,1:0 (0:0),
2836,,,Polonia Warszawa,-,ŁKS Łódź,0:3 (0:1),
2837,,,Widzew Łódź,-,Petrochemia Plock,3:0 (0:0),
2838,18/04/1998,,Amica Wronki,-,Petrochemia Plock,1:1 (1:1),
2839,,,GKS Katowice,-,Stomil Olsztyn,0:1 (0:1),
2840,,,Legia Warszawa,-,Pogoń Szczecin,1:1 (0:0),
2841,,,ŁKS Łódź,-,Groclin Dyskobolia,0:0 (0:0),
2842,,,KSZO Ostrowiec,-,Polonia Warszawa,1:2 (0:1),
2843,,,Lech Poznań,-,Ruch Chorzów,1:2 (1:0),
2844,,,Zagłębie Lubin,-,Raków Częstochowa,2:0 (1:0),
2845,,,Górnik Zabrze,-,Odra Wodzisław,6:0 (3:0),
2846,,,Wisła Kraków,-,Widzew Łódź,6:0 (5:0),
2847,25/04/1998,,Pogoń Szczecin,-,ŁKS Łódź,1:2 (0:1),
2848,,,Stomil Olsztyn,-,Legia Warszawa,1:1 (1:0),
2849,,,Petrochemia Plock,-,GKS Katowice,1:0 (0:0),
2850,,,Odra Wodzisław,-,Wisła Kraków,1:1 (0:1),
2851,,,Raków Częstochowa,-,Górnik Zabrze,0:4 (0:2),
2852,,,Ruch Chorzów,-,Zagłębie Lubin,2:1 (1:1),
2853,,,Polonia Warszawa,-,Lech Poznań,1:1 (1:1),
2854,26/04/1998,,Groclin Dyskobolia,-,KSZO Ostrowiec,1:3 (1:0),
2855,,,Widzew Łódź,-,Amica Wronki,1:1 (1:0),
2856,02/05/1998,,GKS Katowice,-,Amica Wronki,0:0 (0:0),
2857,,,Legia Warszawa,-,Petrochemia Plock,3:0 (0:0),
2858,,,ŁKS Łódź,-,Stomil Olsztyn,3:1 (3:0),
2859,,,KSZO Ostrowiec,-,Pogoń Szczecin,3:2 (2:0),
2860,,,Górnik Zabrze,-,Ruch Chorzów,2:0 (2:0),
2861,,,Wisła Kraków,-,Raków Częstochowa,3:0 (1:0),
2862,03/05/1998,,Lech Poznań,-,Groclin Dyskobolia,3:1 (1:0),
2863,,,Zagłębie Lubin,-,Polonia Warszawa,0:1 (0:0),
2864,,,Odra Wodzisław,-,Widzew Łódź,1:1 (1:1),
2865,09/05/1998,,Pogoń Szczecin,-,Lech Poznań,0:0 (0:0),
2866,,,Stomil Olsztyn,-,KSZO Ostrowiec,2:0 (2:0),
2867,,,Petrochemia Plock,-,ŁKS Łódź,1:1 (0:1),
2868,,,Amica Wronki,-,Legia Warszawa,0:1 (0:1),
2869,,,Raków Częstochowa,-,Odra Wodzisław,0:2 (0:1),
2870,,,Ruch Chorzów,-,Wisła Kraków,1:0 (1:0),
2871,,,Polonia Warszawa,-,Górnik Zabrze,3:1 (1:0),
2872,,,Widzew Łódź,-,GKS Katowice,2:0 (0:0),
2873,10/05/1998,,Groclin Dyskobolia,-,Zagłębie Lubin,1:3 (0:0),
2874,16/05/1998,,Legia Warszawa,-,GKS Katowice,2:0 (1:0),
2875,,,ŁKS Łódź,-,Amica Wronki,2:0 (0:0),
2876,,,KSZO Ostrowiec,-,Petrochemia Plock,2:1 (2:0),
2877,,,Lech Poznań,-,Stomil Olsztyn,1:1 (1:0),
2878,,,Górnik Zabrze,-,Groclin Dyskobolia,2:0 (1:0),
2879,,,Wisła Kraków,-,Polonia Warszawa,3:0 (1:0),
2880,,,Odra Wodzisław,-,Ruch Chorzów,5:0 (2:0),
2881,,,Raków Częstochowa,-,Widzew Łódź,1:3 (0:1),
2882,17/05/1998,,Zagłębie Lubin,-,Pogoń Szczecin,0:0 (0:0),
2883,20/05/1998,,Groclin Dyskobolia,-,Wisła Kraków,1:2 (1:0),
2884,,,Pogoń Szczecin,-,Górnik Zabrze,1:0 (0:0),
2885,,,Stomil Olsztyn,-,Zagłębie Lubin,0:0 (0:0),
2886,,,Petrochemia Plock,-,Lech Poznań,1:0 (1:0),
2887,,,Amica Wronki,-,KSZO Ostrowiec,2:0 (1:0),
2888,,,GKS Katowice,-,ŁKS Łódź,2:2 (0:2),
2889,,,Ruch Chorzów,-,Raków Częstochowa,4:1 (3:0),
2890,,,Polonia Warszawa,-,Odra Wodzisław,2:1 (1:0),
2891,,,Widzew Łódź,-,Legia Warszawa,1:0 (0:0),
2892,30/05/1998,,ŁKS Łódź,-,Legia Warszawa,3:0 (1:0),
2893,,,KSZO Ostrowiec,-,GKS Katowice,0:0 (0:0),
2894,,,Zagłębie Lubin,-,Petrochemia Plock,2:0 (1:0),
2895,,,Górnik Zabrze,-,Stomil Olsztyn,2:3 (1:1),
2896,,,Wisła Kraków,-,Pogoń Szczecin,3:0 (2:0),
2897,,,Odra Wodzisław,-,Groclin Dyskobolia,2:0 (2:0),
2898,,,Raków Częstochowa,-,Polonia Warszawa,0:2 (0:0),
2899,,,Ruch Chorzów,-,Widzew Łódź,1:2 (1:2),
2900,31/05/1998,,Lech Poznań,-,Amica Wronki,2:1 (1:0),
2901,03/06/1998,,Groclin Dyskobolia,-,Raków Częstochowa,2:3 (0:2),
2902,,,Pogoń Szczecin,-,Odra Wodzisław,0:1 (0:1),
2903,,,Stomil Olsztyn,-,Wisła Kraków,0:3 (0:1),
2904,,,Petrochemia Plock,-,Górnik Zabrze,1:1 (1:0),
2905,,,Amica Wronki,-,Zagłębie Lubin,1:0 (0:0),
2906,,,GKS Katowice,-,Lech Poznań,0:1 (0:0),
2907,,,Legia Warszawa,-,KSZO Ostrowiec,3:1 (1:0),
2908,,,Polonia Warszawa,-,Ruch Chorzów,1:0 (0:0),
2909,,,Widzew Łódź,-,ŁKS Łódź,0:0 (0:0),
2910,06/06/1998,,KSZO Ostrowiec,-,ŁKS Łódź,0:1 (0:0),
2911,,,Lech Poznań,-,Legia Warszawa,3:0 (1:0),
2912,,,Zagłębie Lubin,-,GKS Katowice,2:2 (1:0),
2913,,,Górnik Zabrze,-,Amica Wronki,1:1 (1:1),
2914,,,Wisła Kraków,-,Petrochemia Plock,5:0 (1:0),
2915,,,Odra Wodzisław,-,Stomil Olsztyn,4:0 (1:0),
2916,,,Raków Częstochowa,-,Pogoń Szczecin,0:2 (0:1),
2917,,,Ruch Chorzów,-,Groclin Dyskobolia,3:2 (2:0),
2918,,,Polonia Warszawa,-,Widzew Łódź,1:3 (0:1),
2919,09/06/1998,,Groclin Dyskobolia,-,Polonia Warszawa,0:4 (0:2),
2920,,,Pogoń Szczecin,-,Ruch Chorzów,0:0 (0:0),
2921,,,Stomil Olsztyn,-,Raków Częstochowa,3:1 (1:0),
2922,,,Petrochemia Plock,-,Odra Wodzisław,1:6 (1:3),
2923,,,Amica Wronki,-,Wisła Kraków,2:0 (1:0),
2924,,,GKS Katowice,-,Górnik Zabrze,1:1 (1:0),
2925,,,Legia Warszawa,-,Zagłębie Lubin,2:0 (2:0),
2926,,,ŁKS Łódź,-,Lech Poznań,0:2 (0:2),
2927,10/06/1998,,Widzew Łódź,-,KSZO Ostrowiec,2:0 (0:0),
2928,24/07/1998,17:00,Ruch Radzionków,-,Widzew Łódź,5:0 (4:0),
2929,25/07/1998,,Amica Wronki,-,Lech Poznań,2:1 (1:0),
2930,,,GKS Katowice,-,Stomil Olsztyn,1:0 (0:0),
2931,,,Legia Warszawa,-,Zagłębie Lubin,1:1 (0:0),
2932,,,GKS Bełchatów,-,Polonia Warszawa,0:1 (0:0),
2933,,,ŁKS Łódź,-,Górnik Zabrze,2:2 (1:0),
2934,26/07/1998,,Wisła Kraków,-,Odra Wodzisław,2:1 (1:0),
2935,16/09/1998,,Ruch Chorzów,-,Pogoń Szczecin,1:1 (1:1),
2936,31/07/1998,,Stomil Olsztyn,-,Legia Warszawa,1:2 (1:1),
2937,01/08/1998,,Ruch Radzionków,-,Amica Wronki,1:1 (0:0),
2938,,,Odra Wodzisław,-,Ruch Chorzów,2:2 (2:1),
2939,,,Zagłębie Lubin,-,GKS Bełchatów,1:2 (1:1),
2940,,,Lech Poznań,-,GKS Katowice,3:1 (2:1),
2941,,,Widzew Łódź,-,Górnik Zabrze,0:1 (0:1),
2942,02/08/1998,,Pogoń Szczecin,-,ŁKS Łódź,1:1 (1:0),
2943,,,Polonia Warszawa,-,Wisła Kraków,1:3 (0:1),
2944,08/08/1998,,GKS Katowice,-,Ruch Radzionków,1:0 (1:0),
2945,18/11/1998,,Amica Wronki,-,Widzew Łódź,2:3 (2:2),
2946,,,Legia Warszawa,-,Lech Poznań,1:0 (1:0),
2947,,,GKS Bełchatów,-,Stomil Olsztyn,1:0 (0:0),
2948,,,Wisła Kraków,-,Zagłębie Lubin,0:1 (0:1),
2949,,,Ruch Chorzów,-,Polonia Warszawa,0:0 (0:0),
2950,,,ŁKS Łódź,-,Odra Wodzisław,2:1 (1:0),
2951,,,Górnik Zabrze,-,Pogoń Szczecin,4:0 (3:0),
2952,23/09/1998,,Ruch Radzionków,-,Legia Warszawa,1:2 (1:0),
2953,,,Amica Wronki,-,GKS Katowice,4:0 (2:0),
2954,,,Odra Wodzisław,-,Górnik Zabrze,0:1 (0:1),
2955,,,Polonia Warszawa,-,ŁKS Łódź,2:1 (2:0),
2956,,,Zagłębie Lubin,-,Ruch Chorzów,0:2 (0:2),
2957,,,Stomil Olsztyn,-,Wisła Kraków,1:2 (1:0),
2958,,,Lech Poznań,-,GKS Bełchatów,3:0 (0:0),
2959,,,Widzew Łódź,-,Pogoń Szczecin,2:1 (1:0),
2960,21/08/1998,,Wisła Kraków,-,Lech Poznań,2:1 (0:1),
2961,,,Ruch Chorzów,-,Stomil Olsztyn,1:0 (1:0),
2962,22/08/1998,,GKS Katowice,-,Widzew Łódź,0:2 (0:1),
2963,,,Legia Warszawa,-,Amica Wronki,3:1 (2:0),
2964,,,ŁKS Łódź,-,Zagłębie Lubin,0:2 (0:2),
2965,,,Górnik Zabrze,-,Polonia Warszawa,2:0 (0:0),
2966,,,Pogoń Szczecin,-,Odra Wodzisław,1:0 (0:0),
2967,23/08/1998,,GKS Bełchatów,-,Ruch Radzionków,2:1 (0:0),
2968,29/08/1998,,Ruch Radzionków,-,Wisła Kraków,1:1 (1:1),
2969,,,GKS Katowice,-,Legia Warszawa,1:3 (0:0),
2970,,,Polonia Warszawa,-,Pogoń Szczecin,2:2 (1:1),
2971,,,Zagłębie Lubin,-,Górnik Zabrze,3:3 (0:2),
2972,,,Lech Poznań,-,Ruch Chorzów,5:0 (3:0),
2973,30/08/1998,,Amica Wronki,-,GKS Bełchatów,2:0 (0:0),
2974,,,Stomil Olsztyn,-,ŁKS Łódź,1:0 (0:0),
2975,,,Widzew Łódź,-,Odra Wodzisław,2:0 (2:0),
2976,09/09/1998,,Legia Warszawa,-,Widzew Łódź,1:0 (0:0),
2977,,,GKS Bełchatów,-,GKS Katowice,1:2 (1:1),
2978,,,Wisła Kraków,-,Amica Wronki,1:0 (0:0),
2979,,,Ruch Chorzów,-,Ruch Radzionków,1:0 (0:0),
2980,,,ŁKS Łódź,-,Lech Poznań,1:2 (0:1),
2981,,,Górnik Zabrze,-,Stomil Olsztyn,1:1 (0:0),
2982,,,Pogoń Szczecin,-,Zagłębie Lubin,3:2 (1:0),
2983,,,Odra Wodzisław,-,Polonia Warszawa,2:2 (1:1),
2984,12/09/1998,,Ruch Radzionków,-,ŁKS Łódź,4:0 (2:0),
2985,,,Amica Wronki,-,Ruch Chorzów,2:0 (0:0),
2986,,,GKS Katowice,-,Wisła Kraków,1:2 (0:1),
2987,,,Zagłębie Lubin,-,Odra Wodzisław,4:4 (1:1),
2988,,,Lech Poznań,-,Górnik Zabrze,3:1 (2:0),
2989,13/09/1998,,Legia Warszawa,-,GKS Bełchatów,3:0 (2:0),
2990,,,Stomil Olsztyn,-,Pogoń Szczecin,3:1 (1:1),
2991,,,Widzew Łódź,-,Polonia Warszawa,4:1 (3:0),
2992,18/09/1998,,GKS Bełchatów,-,Widzew Łódź,3:2 (0:1),
2993,19/09/1998,,Wisła Kraków,-,Legia Warszawa,4:1 (1:1),
2994,,,Górnik Zabrze,-,Ruch Radzionków,1:1 (0:1),
2995,,,Pogoń Szczecin,-,Lech Poznań,2:3 (1:2),
2996,,,Odra Wodzisław,-,Stomil Olsztyn,1:1 (0:1),
2997,,,Polonia Warszawa,-,Zagłębie Lubin,3:1 (0:0),
2998,20/09/1998,,Ruch Chorzów,-,GKS Katowice,2:1 (0:0),
2999,,,ŁKS Łódź,-,Amica Wronki,2:0 (1:0),
3000,26/09/1998,,Ruch Radzionków,-,Pogoń Szczecin,3:2 (0:1),
3001,,,Amica Wronki,-,Górnik Zabrze,0:0 (0:0),
3002,,,GKS Katowice,-,ŁKS Łódź,1:1 (0:1),
3003,,,GKS Bełchatów,-,Wisła Kraków,0:3 (0:2),
3004,,,Lech Poznań,-,Odra Wodzisław,3:0 (2:0),
3005,,,Widzew Łódź,-,Zagłębie Lubin,1:1 (1:1),
3006,27/09/1998,,Legia Warszawa,-,Ruch Chorzów,2:0 (2:0),
3007,,,Stomil Olsztyn,-,Polonia Warszawa,1:0 (0:0),
3008,02/10/1998,,Górnik Zabrze,-,GKS Katowice,2:1 (0:0),
3009,03/10/1998,,Ruch Chorzów,-,GKS Bełchatów,1:1 (0:1),
3010,,,ŁKS Łódź,-,Legia Warszawa,1:1 (1:0),
3011,,,Odra Wodzisław,-,Ruch Radzionków,3:1 (1:1),
3012,,,Polonia Warszawa,-,Lech Poznań,1:2 (0:1),
3013,,,Zagłębie Lubin,-,Stomil Olsztyn,3:1 (0:0),
3014,04/10/1998,,Wisła Kraków,-,Widzew Łódź,3:1 (1:1),
3015,,,Pogoń Szczecin,-,Amica Wronki,3:2 (1:0),
3016,17/10/1998,,Amica Wronki,-,Odra Wodzisław,3:1 (2:0),
3017,,,GKS Katowice,-,Pogoń Szczecin,1:0 (1:0),
3018,,,GKS Bełchatów,-,ŁKS Łódź,2:3 (1:2),
3019,,,Wisła Kraków,-,Ruch Chorzów,4:1 (0:0),
3020,,,Lech Poznań,-,Zagłębie Lubin,4:0 (2:0),
3021,,,Widzew Łódź,-,Stomil Olsztyn,5:0 (1:0),
3022,18/10/1998,,Ruch Radzionków,-,Polonia Warszawa,0:0 (0:0),
3023,,,Legia Warszawa,-,Górnik Zabrze,0:1 (0:0),
3024,23/10/1998,,Ruch Chorzów,-,Widzew Łódź,2:1 (0:0),
3025,24/10/1998,,ŁKS Łódź,-,Wisła Kraków,0:3 (0:3),
3026,,,Górnik Zabrze,-,GKS Bełchatów,1:3 (1:2),
3027,,,Odra Wodzisław,-,GKS Katowice,0:2 (0:2),
3028,,,Polonia Warszawa,-,Amica Wronki,4:2 (1:1),
3029,,,Stomil Olsztyn,-,Lech Poznań,0:2 (0:2),
3030,25/10/1998,,Pogoń Szczecin,-,Legia Warszawa,3:1 (0:1),
3031,,,Zagłębie Lubin,-,Ruch Radzionków,1:2 (1:0),
3032,30/10/1998,,Wisła Kraków,-,Górnik Zabrze,2:1 (1:1),
3033,,,Ruch Chorzów,-,ŁKS Łódź,1:2 (1:1),
3034,,,Widzew Łódź,-,Lech Poznań,3:0 (1:0),
3035,31/10/1998,,Ruch Radzionków,-,Stomil Olsztyn,1:0 (0:0),
3036,,,Amica Wronki,-,Zagłębie Lubin,2:1 (0:0),
3037,,,GKS Katowice,-,Polonia Warszawa,1:3 (0:1),
3038,,,Legia Warszawa,-,Odra Wodzisław,0:0 (0:0),
3039,,,GKS Bełchatów,-,Pogoń Szczecin,2:0 (1:0),
3040,14/11/1998,,ŁKS Łódź,-,Widzew Łódź,0:1 (0:1),
3041,,,Górnik Zabrze,-,Ruch Chorzów,2:0 (0:0),
3042,,,Pogoń Szczecin,-,Wisła Kraków,0:4 (0:1),
3043,,,Odra Wodzisław,-,GKS Bełchatów,0:0 (0:0),
3044,,,Polonia Warszawa,-,Legia Warszawa,0:0 (0:0),
3045,,,Stomil Olsztyn,-,Amica Wronki,4:1 (3:1),
3046,,,Lech Poznań,-,Ruch Radzionków,1:2 (1:1),
3047,15/11/1998,,Zagłębie Lubin,-,GKS Katowice,4:0 (1:0),
3048,26/02/1999,,Lech Poznań,-,Amica Wronki,2:0 (1:0),
3049,27/02/1999,,Górnik Zabrze,-,ŁKS Łódź,0:0 (0:0),
3050,,,Pogoń Szczecin,-,Ruch Chorzów,1:0 (1:0),
3051,,,Odra Wodzisław,-,Wisła Kraków,0:2 (0:2),
3052,,,Polonia Warszawa,-,GKS Bełchatów,4:0 (1:0),
3053,,,Stomil Olsztyn,-,GKS Katowice,2:1 (1:0),
3054,,,Widzew Łódź,-,Ruch Radzionków,2:1 (1:1),
3055,28/02/1999,,Zagłębie Lubin,-,Legia Warszawa,0:0 (0:0),
3056,06/03/1999,,Amica Wronki,-,Ruch Radzionków,1:0 (0:0),
3057,,,Legia Warszawa,-,Stomil Olsztyn,1:0 (1:0),
3058,,,GKS Bełchatów,-,Zagłębie Lubin,0:1 (0:1),
3059,,,Wisła Kraków,-,Polonia Warszawa,1:3 (1:0),
3060,,,Ruch Chorzów,-,Odra Wodzisław,0:2 (0:0),
3061,,,ŁKS Łódź,-,Pogoń Szczecin,1:1 (0:0),
3062,,,Górnik Zabrze,-,Widzew Łódź,0:1 (0:0),
3063,07/03/1999,,GKS Katowice,-,Lech Poznań,1:2 (0:1),
3064,13/03/1999,,Ruch Radzionków,-,GKS Katowice,1:1 (1:1),
3065,,,Pogoń Szczecin,-,Górnik Zabrze,0:1 (0:1),
3066,,,Odra Wodzisław,-,ŁKS Łódź,2:1 (1:0),
3067,,,Polonia Warszawa,-,Ruch Chorzów,3:0 (1:0),
3068,,,Lech Poznań,-,Legia Warszawa,0:0 (0:0),
3069,14/03/1999,,Zagłębie Lubin,-,Wisła Kraków,0:3 (0:2),
3070,,,Stomil Olsztyn,-,GKS Bełchatów,0:2 (0:1),
3071,,,Widzew Łódź,-,Amica Wronki,3:0 (2:0),
3072,20/03/1999,,GKS Katowice,-,Amica Wronki,0:0 (0:0),
3073,,,Legia Warszawa,-,Ruch Radzionków,1:1 (0:0),
3074,,,GKS Bełchatów,-,Lech Poznań,1:3 (0:2),
3075,,,Wisła Kraków,-,Stomil Olsztyn,3:0 (1:0),
3076,,,Ruch Chorzów,-,Zagłębie Lubin,0:0 (0:0),
3077,,,ŁKS Łódź,-,Polonia Warszawa,0:0 (0:0),
3078,,,Górnik Zabrze,-,Odra Wodzisław,0:1 (0:0),
3079,,,Pogoń Szczecin,-,Widzew Łódź,1:2 (1:1),
3080,02/04/1999,,Zagłębie Lubin,-,ŁKS Łódź,2:2 (1:1),
3081,,,Stomil Olsztyn,-,Ruch Chorzów,1:0 (0:0),
3082,,,Widzew Łódź,-,GKS Katowice,1:0 (0:0),
3083,03/04/1999,,Ruch Radzionków,-,GKS Bełchatów,1:1 (0:0),
3084,,,Amica Wronki,-,Legia Warszawa,0:2 (0:0),
3085,,,Odra Wodzisław,-,Pogoń Szczecin,3:0 (0:0),
3086,,,Polonia Warszawa,-,Górnik Zabrze,1:0 (1:0),
3087,,,Lech Poznań,-,Wisła Kraków,1:3 (1:3),
3088,10/04/1999,,Legia Warszawa,-,GKS Katowice,0:0 (0:0),
3089,,,GKS Bełchatów,-,Amica Wronki,1:1 (0:1),
3090,,,Ruch Chorzów,-,Lech Poznań,2:1 (2:0),
3091,,,ŁKS Łódź,-,Stomil Olsztyn,2:0 (1:0),
3092,,,Górnik Zabrze,-,Zagłębie Lubin,2:2 (1:1),
3093,,,Pogoń Szczecin,-,Polonia Warszawa,1:0 (0:0),
3094,,,Odra Wodzisław,-,Widzew Łódź,2:0 (0:0),
3095,11/04/1999,,Wisła Kraków,-,Ruch Radzionków,6:0 (4:0),
3096,17/04/1999,,Ruch Radzionków,-,Ruch Chorzów,1:0 (1:0),
3097,,,GKS Katowice,-,GKS Bełchatów,1:1 (0:1),
3098,,,Polonia Warszawa,-,Odra Wodzisław,2:1 (0:0),
3099,,,Zagłębie Lubin,-,Pogoń Szczecin,2:0 (0:0),
3100,,,Lech Poznań,-,ŁKS Łódź,3:1 (2:0),
3101,18/04/1999,,Amica Wronki,-,Wisła Kraków,1:3 (1:1),
3102,,,Stomil Olsztyn,-,Górnik Zabrze,2:1 (1:0),
3103,,,Widzew Łódź,-,Legia Warszawa,3:2 (2:0),
3104,23/04/1999,,Wisła Kraków,-,GKS Katowice,4:1 (0:0),
3105,,,Górnik Zabrze,-,Lech Poznań,1:2 (1:0),
3106,24/04/1999,,GKS Bełchatów,-,Legia Warszawa,1:2 (0:1),
3107,,,Ruch Chorzów,-,Amica Wronki,0:0 (0:0),
3108,,,ŁKS Łódź,-,Ruch Radzionków,0:1 (0:1),
3109,,,Pogoń Szczecin,-,Stomil Olsztyn,2:2 (0:1),
3110,,,Odra Wodzisław,-,Zagłębie Lubin,0:1 (0:0),
3111,,,Polonia Warszawa,-,Widzew Łódź,2:1 (1:1),
3112,30/04/1999,,GKS Katowice,-,Ruch Chorzów,0:1 (0:0),
3113,,,Legia Warszawa,-,Wisła Kraków,1:2 (1:1),
3114,,,Lech Poznań,-,Pogoń Szczecin,2:2 (1:0),
3115,01/05/1999,,Ruch Radzionków,-,Górnik Zabrze,0:0 (0:0),
3116,,,Amica Wronki,-,ŁKS Łódź,1:2 (0:0),
3117,,,Zagłębie Lubin,-,Polonia Warszawa,1:0 (1:0),
3118,,,Stomil Olsztyn,-,Odra Wodzisław,3:1 (1:1),
3119,,,Widzew Łódź,-,GKS Bełchatów,1:0 (0:0),
3120,08/05/1999,,Wisła Kraków,-,GKS Bełchatów,4:0 (0:0),
3121,,,Ruch Chorzów,-,Legia Warszawa,0:1 (0:1),
3122,,,ŁKS Łódź,-,GKS Katowice,3:2 (2:1),
3123,,,Górnik Zabrze,-,Amica Wronki,0:0 (0:0),
3124,,,Pogoń Szczecin,-,Ruch Radzionków,3:2 (0:1),
3125,,,Odra Wodzisław,-,Lech Poznań,2:0 (0:0),
3126,,,Polonia Warszawa,-,Stomil Olsztyn,0:1 (0:0),
3127,,,Zagłębie Lubin,-,Widzew Łódź,0:1 (0:0),
3128,12/05/1999,,Ruch Radzionków,-,Odra Wodzisław,2:0 (1:0),
3129,,,Amica Wronki,-,Pogoń Szczecin,2:0 (0:0),
3130,,,GKS Katowice,-,Górnik Zabrze,1:1 (0:1),
3131,,,Legia Warszawa,-,ŁKS Łódź,3:2 (3:0),
3132,,,GKS Bełchatów,-,Ruch Chorzów,0:2 (0:1),
3133,,,Stomil Olsztyn,-,Zagłębie Lubin,1:1 (0:1),
3134,,,Lech Poznań,-,Polonia Warszawa,0:1 (0:1),
3135,,,Widzew Łódź,-,Wisła Kraków,1:0 (1:0),
3136,15/05/1999,,Ruch Chorzów,-,Wisła Kraków,1:1 (1:0),
3137,,,ŁKS Łódź,-,GKS Bełchatów,2:0 (1:0),
3138,,,Górnik Zabrze,-,Legia Warszawa,1:0 (1:0),
3139,,,Odra Wodzisław,-,Amica Wronki,1:0 (0:0),
3140,,,Polonia Warszawa,-,Ruch Radzionków,0:0 (0:0),
3141,,,Zagłębie Lubin,-,Lech Poznań,1:2 (0:2),
3142,16/05/1999,,Pogoń Szczecin,-,GKS Katowice,1:0 (1:0),
3143,,,Stomil Olsztyn,-,Widzew Łódź,2:1 (1:0),
3144,22/05/1999,,Ruch Radzionków,-,Zagłębie Lubin,3:3 (1:1),
3145,,,Amica Wronki,-,Polonia Warszawa,1:0 (1:0),
3146,,,GKS Katowice,-,Odra Wodzisław,1:1 (0:1),
3147,,,GKS Bełchatów,-,Górnik Zabrze,1:1 (1:0),
3148,,,Wisła Kraków,-,ŁKS Łódź,1:1 (0:1),
3149,,,Lech Poznań,-,Stomil Olsztyn,1:1 (0:0),
3150,,,Widzew Łódź,-,Ruch Chorzów,1:1 (1:0),
3151,23/05/1999,,Legia Warszawa,-,Pogoń Szczecin,2:0 (1:0),
3152,26/05/1999,,ŁKS Łódź,-,Ruch Chorzów,0:0 (0:0),
3153,,,Górnik Zabrze,-,Wisła Kraków,2:2 (1:0),
3154,,,Pogoń Szczecin,-,GKS Bełchatów,1:0 (0:0),
3155,,,Odra Wodzisław,-,Legia Warszawa,1:2 (1:1),
3156,,,Polonia Warszawa,-,GKS Katowice,2:0 (1:0),
3157,,,Zagłębie Lubin,-,Amica Wronki,1:0 (1:0),
3158,,,Stomil Olsztyn,-,Ruch Radzionków,0:0 (0:0),
3159,,,Lech Poznań,-,Widzew Łódź,2:0 (0:0),
3160,29/05/1999,,Ruch Radzionków,-,Lech Poznań,4:1 (1:0),
3161,,,Amica Wronki,-,Stomil Olsztyn,0:0 (0:0),
3162,,,GKS Katowice,-,Zagłębie Lubin,2:2 (1:2),
3163,,,Legia Warszawa,-,Polonia Warszawa,3:0 (1:0),
3164,,,GKS Bełchatów,-,Odra Wodzisław,1:1 (0:0),
3165,,,Wisła Kraków,-,Pogoń Szczecin,4:0 (2:0),
3166,,,Ruch Chorzów,-,Górnik Zabrze,2:1 (1:1),
3167,,,Widzew Łódź,-,ŁKS Łódź,5:0 (4:0),
3168,16/07/1999,18:00,Legia Warszawa,-,ŁKS Łódź,0:0 (0:0),
3169,17/07/1999,15:00,Amica Wronki,-,Górnik Zabrze,3:2 (2:2),
3170,,15:30,Zagłębie Lubin,-,Lech Poznań,2:1 (1:0),
3171,,15:30,Ruch Radzionków,-,Stomil Olsztyn,0:1 (0:0),
3172,,15:30,Groclin Dyskobolia,-,Pogoń Szczecin,1:2 (1:0),
3173,,17:00,Petro Plock,-,Ruch Chorzów,0:0 (0:0),
3174,18/07/1999,15:00,Odra Wodzisław,-,Wisła Kraków,0:3 (0:3),
3175,21/07/1999,17:00,Widzew Łódź,-,Polonia Warszawa,1:1 (1:0),
3176,24/07/1999,15:00,Stomil Olsztyn,-,Groclin Dyskobolia,5:2 (1:1),
3177,,15:30,Zagłębie Lubin,-,Amica Wronki,2:2 (1:2),
3178,,15:30,Ruch Chorzów,-,Widzew Łódź,4:1 (2:1),
3179,,15:30,ŁKS Łódź,-,Odra Wodzisław,1:0 (0:0),
3180,,17:00,Górnik Zabrze,-,Legia Warszawa,2:2 (2:1),
3181,,18:00,Lech Poznań,-,Pogoń Szczecin,1:1 (1:1),
3182,25/07/1999,16:00,Wisła Kraków,-,Petro Plock,3:1 (2:0),
3183,25/08/1999,16:00,Polonia Warszawa,-,Ruch Radzionków,4:1 (2:0),
3184,31/07/1999,15:00,Petro Plock,-,ŁKS Łódź,2:0 (2:0),
3185,,15:30,Odra Wodzisław,-,Górnik Zabrze,3:3 (1:2),
3186,,15:30,Ruch Radzionków,-,Ruch Chorzów,1:2 (1:0),
3187,,15:30,Groclin Dyskobolia,-,Polonia Warszawa,0:1 (0:0),
3188,,16:00,Pogoń Szczecin,-,Stomil Olsztyn,3:0 (0:0),
3189,,17:00,Amica Wronki,-,Lech Poznań,1:0 (0:0),
3190,,18:00,Legia Warszawa,-,Zagłębie Lubin,2:2 (1:1),
3191,,19:00,Widzew Łódź,-,Wisła Kraków,3:4 (2:2),
3192,06/08/1999,15:00,Wisła Kraków,-,Ruch Radzionków,2:0 (1:0),
3193,,17:00,Amica Wronki,-,Legia Warszawa,1:2 (0:2),
3194,07/08/1999,15:30,Zagłębie Lubin,-,Odra Wodzisław,1:0 (1:0),
3195,,15:30,Ruch Chorzów,-,Groclin Dyskobolia,4:1 (2:1),
3196,,16:00,Górnik Zabrze,-,Petro Plock,4:1 (1:0),
3197,,16:30,Polonia Warszawa,-,Pogoń Szczecin,4:0 (2:0),
3198,,17:00,Lech Poznań,-,Stomil Olsztyn,1:2 (1:1),
3199,27/10/1999,17:00,ŁKS Łódź,-,Widzew Łódź,2:3 (1:2),
3200,14/08/1999,15:00,Petro Plock,-,Zagłębie Lubin,2:1 (1:0),
