,data,godzina,dom,-,wyjazd,wynik,pusta
77,11/09/2022,11:30,Miedź Legnica,-,Korona Kielce,2:2 (1:0),
78,,14:00,Pogoń Szczecin,-,Lech Poznań,2:2 (1:1),
79,,16:30,Raków Częstochowa,-,Legia Warszawa,4:0 (1:0),
80,12/09/2022,18:00,Jagiellonia Białystok,-,FKS Stal Mielec,4:0 (3:0),
81,16/09/2022,17:00,Piast Gliwice,-,Śląsk Wrocław,1:1 (1:1),
82,,19:30,Legia Warszawa,-,Miedź Legnica,3:2 (2:2),
83,17/09/2022,11:30,FKS Stal Mielec,-,Widzew Łódź,0:3 (0:0),
84,,14:00,Lechia Gdańsk,-,Jagiellonia Białystok,2:2 (0:1),
85,,16:30,Raków Częstochowa,-,Radomiak Radom,3:0 (1:0),
86,,19:00,KS Cracovia,-,Pogoń Szczecin,1:1 (0:0),
87,18/09/2022,11:30,Korona Kielce,-,Górnik Zabrze,1:2 (1:1),
88,,14:00,Zagłębie Lubin,-,Wisła Płock,2:1 (1:1),
89,,16:30,Warta Poznań,-,Lech Poznań,0:1 (0:0),
90,30/09/2022,17:00,Radomiak Radom,-,KS Cracovia,0:2 (0:1),
91,,19:30,Wisła Płock,-,Piast Gliwice,1:0 (0:0),
92,01/10/2022,14:00,Górnik Zabrze,-,Zagłębie Lubin,2:3 (1:2),
93,,16:30,Lech Poznań,-,Legia Warszawa,0:0 (0:0),
94,,19:30,Pogoń Szczecin,-,Lechia Gdańsk,2:1 (2:1),
95,02/10/2022,11:30,Miedź Legnica,-,FKS Stal Mielec,0:2 (0:2),
96,,14:00,Jagiellonia Białystok,-,Korona Kielce,4:1 (1:1),
97,,16:30,Widzew Łódź,-,Raków Częstochowa,0:0 (0:0),
98,03/10/2022,18:00,Śląsk Wrocław,-,Warta Poznań,0:2 (0:1),
99,07/10/2022,17:00,FKS Stal Mielec,-,Pogoń Szczecin,4:2 (2:1),
100,,19:30,Jagiellonia Białystok,-,Wisła Płock,1:1 (0:1),
101,08/10/2022,14:00,Śląsk Wrocław,-,Górnik Zabrze,4:1 (2:0),
102,,16:30,Legia Warszawa,-,Warta Poznań,1:0 (1:0),
103,,19:00,KS Cracovia,-,Lechia Gdańsk,0:1 (0:0),
104,09/10/2022,14:00,Zagłębie Lubin,-,Korona Kielce,1:1 (1:0),
105,,16:30,Lech Poznań,-,Radomiak Radom,1:0 (1:0),
106,10/10/2022,17:00,Raków Częstochowa,-,Miedź Legnica,1:0 (1:0),
107,,19:30,Piast Gliwice,-,Widzew Łódź,1:2 (0:1),
108,14/10/2022,17:00,Korona Kielce,-,FKS Stal Mielec,0:2 (0:2),
109,,19:30,Wisła Płock,-,Legia Warszawa,2:1 (0:0),
110,15/10/2022,11:30,Radomiak Radom,-,Śląsk Wrocław,2:0 (0:0),
111,,14:00,Lechia Gdańsk,-,Raków Częstochowa,0:3 (0:2),
112,,16:30,Warta Poznań,-,Jagiellonia Białystok,2:0 (0:0),
113,,19:00,Pogoń Szczecin,-,Piast Gliwice,1:1 (0:1),
114,16/10/2022,11:30,Miedź Legnica,-,KS Cracovia,1:1 (0:1),
115,,14:00,Widzew Łódź,-,Zagłębie Lubin,3:0 (1:0),
116,,17:30,Górnik Zabrze,-,Lech Poznań,1:2 (1:1),
117,21/10/2022,19:30,Widzew Łódź,-,Miedź Legnica,1:0 (1:0),
118,22/10/2022,14:00,FKS Stal Mielec,-,Wisła Płock,1:1 (1:0),
119,,16:30,Legia Warszawa,-,Pogoń Szczecin,1:1 (1:0),
120,,19:00,Raków Częstochowa,-,Korona Kielce,1:0 (0:0),
121,23/10/2022,11:30,Warta Poznań,-,Górnik Zabrze,0:0 (0:0),
122,,14:00,Śląsk Wrocław,-,Jagiellonia Białystok,2:2 (1:1),
123,,16:30,KS Cracovia,-,Lech Poznań,0:0 (0:0),
124,24/10/2022,17:00,Piast Gliwice,-,Radomiak Radom,1:2 (1:1),
125,,19:30,Zagłębie Lubin,-,Lechia Gdańsk,0:3 (0:1),
126,28/10/2022,17:00,Miedź Legnica,-,Pogoń Szczecin,2:4 (2:2),
127,,19:30,Górnik Zabrze,-,Widzew Łódź,3:0 (3:0),
128,29/10/2022,14:00,Korona Kielce,-,Piast Gliwice,1:1 (1:0),
129,,16:30,Jagiellonia Białystok,-,Legia Warszawa,2:5 (1:3),
130,,19:00,Wisła Płock,-,Śląsk Wrocław,1:2 (0:0),
131,30/10/2022,11:30,Zagłębie Lubin,-,KS Cracovia,0:2 (0:0),
132,,14:00,Lechia Gdańsk,-,FKS Stal Mielec,1:0 (0:0),
133,,16:30,Lech Poznań,-,Raków Częstochowa,1:2 (0:0),
134,31/10/2022,18:00,Radomiak Radom,-,Warta Poznań,2:3 (0:2),
135,04/11/2022,17:00,FKS Stal Mielec,-,Zagłębie Lubin,3:0 (0:0),
136,,19:30,Legia Warszawa,-,Lechia Gdańsk,2:1 (0:0),
137,05/11/2022,11:30,Piast Gliwice,-,Warta Poznań,0:2 (0:1),
138,,14:00,KS Cracovia,-,Jagiellonia Białystok,1:0 (0:0),
139,,16:30,Pogoń Szczecin,-,Górnik Zabrze,1:4 (1:1),
140,,19:00,Raków Częstochowa,-,Wisła Płock,7:1 (4:1),
141,06/11/2022,11:30,Miedź Legnica,-,Śląsk Wrocław,1:0 (1:0),
142,,14:00,Widzew Łódź,-,Radomiak Radom,1:3 (0:2),
143,,16:30,Lech Poznań,-,Korona Kielce,3:2 (1:0),
144,11/11/2022,17:00,Warta Poznań,-,FKS Stal Mielec,1:1 (0:0),
145,,19:30,Wisła Płock,-,KS Cracovia,1:0 (0:0),
146,12/11/2022,11:30,Korona Kielce,-,Widzew Łódź,0:1 (0:0),
147,,14:00,Górnik Zabrze,-,Miedź Legnica,0:3 (0:2),
148,,16:30,Jagiellonia Białystok,-,Lech Poznań,1:2 (1:1),
149,,19:00,Zagłębie Lubin,-,Raków Częstochowa,1:2 (0:2),
150,13/11/2022,11:30,Radomiak Radom,-,Pogoń Szczecin,1:2 (0:0),
151,,14:00,Lechia Gdańsk,-,Piast Gliwice,1:3 (0:1),
152,,16:30,Śląsk Wrocław,-,Legia Warszawa,0:0 (0:0),
153,27/01/2023,17:00,Miedź Legnica,-,Radomiak Radom,0:0 (0:0),
154,,19:30,FKS Stal Mielec,-,Lech Poznań,0:0 (0:0),
155,28/01/2023,14:00,Warta Poznań,-,Raków Częstochowa,1:1 (1:0),
156,,16:30,Widzew Łódź,-,Pogoń Szczecin,3:3 (0:1),
157,,19:00,Śląsk Wrocław,-,Zagłębie Lubin,0:3 (0:1),
158,29/01/2023,11:30,Piast Gliwice,-,Jagiellonia Białystok,1:1 (0:0),
159,,14:00,Legia Warszawa,-,Korona Kielce,3:2 (2:0),
160,,16:30,Lechia Gdańsk,-,Wisła Płock,1:0 (0:0),
161,30/01/2023,18:00,KS Cracovia,-,Górnik Zabrze,2:0 (1:0),
162,03/02/2023,20:00,Widzew Łódź,-,Jagiellonia Białystok,1:1 (0:0),
163,04/02/2023,14:00,Raków Częstochowa,-,Piast Gliwice,1:0 (1:0),
164,,16:30,Górnik Zabrze,-,Lechia Gdańsk,1:1 (1:0),
