,data,godzina,dom,-,wyjazd,wynik,pusta
73,08/05/2016,14:30,Pogoń Szczecin,-,Zagłębie Lubin,1:3 (0:0),
74,,14:30,KS Cracovia,-,Lech Poznań,2:0 (2:0),
75,,17:00,Legia Warszawa,-,Piast Gliwice,4:0 (2:0),
76,11/05/2016,19:30,Lechia Gdańsk,-,Legia Warszawa,2:0 (1:0),
77,,19:30,Pogoń Szczecin,-,KS Cracovia,3:2 (1:0),
78,,19:30,Ruch Chorzów,-,Piast Gliwice,0:3 (0:1),
79,,19:30,Zagłębie Lubin,-,Lech Poznań,3:0 (0:0),
80,15/05/2016,17:00,Legia Warszawa,-,Pogoń Szczecin,3:0 (1:0),
81,,17:00,KS Cracovia,-,Lechia Gdańsk,2:0 (1:0),
82,,17:00,Piast Gliwice,-,Zagłębie Lubin,0:1 (0:1),
83,,17:00,Lech Poznań,-,Ruch Chorzów,3:0 (1:0),
84,15/07/2016,17:00,Wisła Płock,-,Lechia Gdańsk,2:1 (1:1),
85,,19:30,Śląsk Wrocław,-,Lech Poznań,0:0 (0:0),
86,16/07/2016,14:30,Ruch Chorzów,-,Górnik Łęczna,2:1 (0:0),
87,,17:00,Wisła Kraków,-,Pogoń Szczecin,2:1 (1:1),
88,,19:30,Legia Warszawa,-,Jagiellonia Białystok,1:1 (1:0),
89,17/07/2016,14:30,Zagłębie Lubin,-,Korona Kielce,4:0 (4:0),
90,,17:00,KS Cracovia,-,Piast Gliwice,5:1 (2:0),
91,18/07/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Arka Gdynia,2:0 (1:0),
92,22/07/2016,17:00,Pogoń Szczecin,-,Korona Kielce,1:1 (1:1),
93,,19:30,Arka Gdynia,-,Wisła Kraków,3:0 (2:0),
94,23/07/2016,17:00,Jagiellonia Białystok,-,Ruch Chorzów,4:1 (2:1),
95,,19:30,Legia Warszawa,-,Śląsk Wrocław,0:0 (0:0),
96,24/07/2016,14:30,Piast Gliwice,-,Wisła Płock,2:1 (1:1),
97,,14:30,Bruk-Bet Termalica Nieciecza,-,KS Cracovia,3:2 (3:1),
98,,17:00,Lech Poznań,-,Zagłębie Lubin,0:2 (0:1),
99,25/07/2016,17:00,Górnik Łęczna,-,Lechia Gdańsk,1:2 (0:1),
100,29/07/2016,17:00,Arka Gdynia,-,Ruch Chorzów,3:0 (1:0),
101,,19:30,Lech Poznań,-,Jagiellonia Białystok,0:2 (0:0),
102,30/07/2016,17:00,Lechia Gdańsk,-,Wisła Kraków,3:1 (1:0),
103,,19:30,Wisła Płock,-,Legia Warszawa,2:3 (2:2),
104,31/07/2016,14:30,Górnik Łęczna,-,KS Cracovia,0:0 (0:0),
105,,14:30,Zagłębie Lubin,-,Bruk-Bet Termalica Nieciecza,2:0 (2:0),
106,,17:00,Korona Kielce,-,Piast Gliwice,1:1 (0:0),
